scenarioId,liquidityBps,range,initialTick,balanceBps,maxSafeNotional,firstFailureNotional,selector,limitingFactor,preflightExpected
capacity-100000-1000-90-10000,100000,1000,90,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-1000-90-20000,100000,1000,90,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-1000--90-5000,100000,1000,-90,5000,346222,346223,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-100000-1000--90-10000,100000,1000,-90,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-1000--90-20000,100000,1000,-90,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-10000-0-5000,100000,10000,0,5000,635414,635415,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-100000-10000-0-10000,100000,10000,0,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-10000-0-20000,100000,10000,0,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-10000-90-5000,100000,10000,90,5000,402770,402771,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-100000-10000-90-10000,100000,10000,90,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-10000-90-20000,100000,10000,90,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-10000--90-5000,100000,10000,-90,5000,346222,346223,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-100000-10000--90-10000,100000,10000,-90,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-100000-10000--90-20000,100000,10000,-90,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-10000-100-0-5000,10000,100,0,5000,16666,16667,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-10000-100-0-10000,10000,100,0,10000,16715,16716,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-100-0-20000,10000,100,0,20000,16715,16716,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-100-90-5000,10000,100,90,5000,31446,31447,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-10000-100-90-10000,10000,100,90,10000,31688,31689,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-100-90-20000,10000,100,90,20000,31688,31689,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-100--90-5000,10000,100,-90,5000,137,138,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-10000-100--90-10000,10000,100,-90,10000,1675,1676,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-100--90-20000,10000,100,-90,20000,1675,1676,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-1000-0-5000,10000,1000,0,5000,144230,144231,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-10000-1000-0-10000,10000,1000,0,10000,170980,170981,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-1000-0-20000,10000,1000,0,20000,170980,170981,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-1000-90-5000,10000,1000,90,5000,41776,41777,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-10000-1000-90-10000,10000,1000,90,10000,185953,185954,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-1000-90-20000,10000,1000,90,20000,185953,185954,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-1000--90-5000,10000,1000,-90,5000,96938,96939,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-10000-1000--90-10000,10000,1000,-90,10000,155939,155940,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-1000--90-20000,10000,1000,-90,20000,155939,155940,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-10000-10000-0-5000,10000,10000,0,5000,635414,635415,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-10000-10000-0-10000,10000,10000,0,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-10000-10000-0-20000,10000,10000,0,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-10000-10000-90-5000,10000,10000,90,5000,402770,402771,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-10000-10000-90-10000,10000,10000,90,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-10000-10000-90-20000,10000,10000,90,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-10000-10000--90-5000,10000,10000,-90,5000,346222,346223,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-10000-10000--90-10000,10000,10000,-90,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-10000-10000--90-20000,10000,10000,-90,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-20000-100-0-5000,20000,100,0,5000,21002,21003,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-20000-100-0-10000,20000,100,0,10000,33431,33432,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-100-0-20000,20000,100,0,20000,33431,33432,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-100-90-5000,20000,100,90,5000,41776,41777,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-20000-100-90-10000,20000,100,90,10000,63377,63378,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-100-90-20000,20000,100,90,20000,63377,63378,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-100--90-5000,20000,100,-90,5000,2987,2988,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-20000-100--90-10000,20000,100,-90,10000,3350,3351,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-100--90-20000,20000,100,-90,20000,3350,3351,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-1000-0-5000,20000,1000,0,5000,322098,322099,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-20000-1000-0-10000,20000,1000,0,10000,341960,341961,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-1000-0-20000,20000,1000,0,20000,341960,341961,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-1000-90-5000,20000,1000,90,5000,344880,344881,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-20000-1000-90-10000,20000,1000,90,10000,371906,371907,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-1000-90-20000,20000,1000,90,20000,371906,371907,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-1000--90-5000,20000,1000,-90,5000,274596,274597,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-20000-1000--90-10000,20000,1000,-90,10000,311879,311880,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-1000--90-20000,20000,1000,-90,20000,311879,311880,0x2fc1e9e200000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,REJECT_AT_FIRST_FAILURE
capacity-20000-10000-0-5000,20000,10000,0,5000,635414,635415,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-20000-10000-0-10000,20000,10000,0,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-20000-10000-0-20000,20000,10000,0,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-20000-10000-90-5000,20000,10000,90,5000,402770,402771,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-20000-10000-90-10000,20000,10000,90,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-20000-10000-90-20000,20000,10000,90,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-20000-10000--90-5000,20000,10000,-90,5000,346222,346223,0x90bfb86500000000000000000000000000000000000000000000000000000000,PHYSICAL_MANAGER_BALANCE,REJECT_AT_FIRST_FAILURE
capacity-20000-10000--90-10000,20000,10000,-90,10000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
capacity-20000-10000--90-20000,20000,10000,-90,20000,1000000,,0x0000000000000000000000000000000000000000000000000000000000000000,PRICE_DEPTH_OR_SWAP_LIMIT,EXECUTABLE_THROUGH_SEARCH_MAX
